,BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
98,6138100392,['장훈'],"['디엘모터스 주식회사', '대림비앤코주식회사', '(주)삼일씨엔에스', '대림통상 주식회사', '디엘건설 주식회사', '디엘 주식회사']",2008-11-05,5.02E+12,"['08', '09', '19', '21']",4.00E+12,대림
99,6138100392,['이상헌'],"['대림비앤코주식회사', '디엘모터스 주식회사', '대림통상 주식회사', '디엘건설 주식회사', '디엘 주식회사', '(주)삼일씨엔에스']",2008-01-24,5.62E+12,"['01', '16', '17']",4.00E+12,DAELIM OPP
100,6138100392,['장훈'],"['디엘건설 주식회사', '대림비앤코주식회사', '대림통상 주식회사', '(주)삼일씨엔에스', '디엘모터스 주식회사', '디엘 주식회사']",2009-01-28,5.02E+12,"['07', '22', '31']",4.00E+12,대림
101,6138100392,"['황의창', '이수웅']","['대림통상 주식회사', '디엘 주식회사', '디엘건설 주식회사', '디엘모터스 주식회사', '대림비앤코주식회사', '(주)삼일씨엔에스']",2002-02-01,7.12E+12,"['35', '36', '37', '40', '42']",4.10E+12,
102,6138100392,['장훈'],"['대림통상 주식회사', '디엘 주식회사', '대림비앤코주식회사', '디엘건설 주식회사', '디엘모터스 주식회사', '(주)삼일씨엔에스']",2008-11-10,5.02E+12,['14'],4.00E+12,대림
103,6138100392,['장훈'],"['디엘모터스 주식회사', '대림비앤코주식회사', '(주)삼일씨엔에스', '디엘 주식회사', '디엘건설 주식회사', '대림통상 주식회사']",2008-11-05,5.02E+12,"['02', '16']",4.00E+12,대림
104,6138100392,['장훈'],"['디엘건설 주식회사', '디엘모터스 주식회사', '(주)삼일씨엔에스', '디엘 주식회사', '대림통상 주식회사', '대림비앤코주식회사']",2008-11-10,5.62E+12,['14'],4.00E+12,대림
105,1498706673,,,,,,,
106,5938107602,,,,,,,
107,2018102169,,,,,,,
108,8388106170,,,,,,,
109,1208708457,,,,,,,
110,1058209898,,,,,,,
111,1358108765,,,,,,,
112,2068600800,,,,,,,
113,1448102883,,,,,,,
114,8078102394,,,,,,,
115,6071409094,,,,,,,
116,6058507890,,,,,,,
117,1728600874,,,,,,,
118,1051102853,,,,,,,
119,2148100999,"['유미특허법인', '김원호']",['주식회사 시공사'],1999-12-09,4.02E+12,['16'],4.00E+12,카사데코 CASADECO
120,2148100999,['유미특허법인'],['주식회사 시공사'],2002-03-19,4.02E+12,['16'],,문학 IN
121,2148100999,"['송만호', '유미특허법인']",['주식회사 시공사'],2001-04-26,4.02E+12,['16'],4.01E+12,코믹커스 Comickers
122,2148100999,"['김원호', '유미특허법인']",['주식회사 시공사'],1999-07-23,4.02E+12,['16'],4.00E+12,파파야 PAPAYA
123,2148100999,"['이상진', '이은경']",['주식회사 시공사'],1998-02-20,4.02E+12,['018'],,유행통신 유행통신
124,2148100999,"['강경찬', '변창규']",['주식회사 시공사'],2013-12-05,4.02E+12,['26'],,투핸즈 TWOHANDS
125,2148100999,"['김원호', '유미특허법인']",['주식회사 시공사'],1993-06-15,4.12E+12,"['35', '41']",4.10E+12,아티누스
126,2148100999,['강경찬'],['주식회사 시공사'],2004-11-29,4.02E+12,['09'],4.01E+12,GTCARD
127,2148100999,['강경찬'],['주식회사 시공사'],2005-03-10,4.12E+12,['35'],4.10E+12,Justgo
128,2148100999,"['변창규', '강경찬']",['주식회사 시공사'],2009-09-25,4.02E+12,['09'],4.01E+12,아르비방
129,2148100999,['이소정'],['주식회사 시공사'],2021-05-27,4.02E+12,['16'],,코드네임H
130,2148100999,['이소정'],['주식회사 시공사'],2021-05-27,4.02E+12,['16'],,코드네임C
131,2148100999,['이소정'],['주식회사 시공사'],2021-05-27,4.02E+12,['41'],,코드네임I
132,2148100999,['이소정'],['주식회사 시공사'],2021-05-27,4.02E+12,['16'],,코드네임R
133,2148100999,"['이상진', '이은경']",['주식회사 시공사'],1998-02-20,4.02E+12,"['022', '16']",4.00E+12,유행통신 유행통신
134,2148100999,"['이은경', '이상진']",['주식회사 시공사'],1998-02-20,4.12E+12,['112'],4.10E+12,유행통신 유행통신
135,2148100999,"['변창규', '강경찬']",['주식회사 시공사'],2014-07-11,4.02E+12,['16'],4.01E+12,시공그래픽노블
136,2148100999,"['김수진', '윤의섭']",['주식회사 시공사'],2009-12-30,4.02E+12,['16'],4.01E+12,에그머니 EggMoney eggmoney
137,2148100999,"['변창규', '강경찬']",['주식회사 시공사'],2009-07-30,4.12E+12,['41'],4.10E+12,시공 세계 문학의 숲
138,1198101721,,,,,,,
139,2078102534,,,,,,,
140,6228106721,['이상진'],"['성원건설(주)', '성원산업개발(주)']",2003-08-08,4.12E+12,['36'],4.10E+12,상떼뷰리젠시
141,6228106721,['이상진'],"['성원산업개발(주)', '성원건설(주)']",2003-08-08,4.12E+12,['36'],4.10E+12,쌍떼뷰
142,6228106721,['이상진'],"['성원산업개발(주)', '성원건설(주)']",2003-08-08,4.12E+12,['36'],4.10E+12,상떼빌그랑
143,2608600370,,,,,,,
144,8388703264,['최경수'],['에이원종합건설(주)'],2002-10-21,4.12E+12,"['36', '37']",4.10E+12,에이원종합건설 AONE
145,8388703264,['전상윤'],['에이원종합건설(주)'],2005-02-18,4.12E+12,"['36', '37']",4.10E+12,Paranchae
146,2218109157,,,,,,,
147,1198105626,,,,,,,
148,1108106935,,,,,,,
149,5648108012,,,,,,,
150,4028108820,,,,,,,
151,4128106848,,,,,,,
152,4725105662,,,,,,,
153,2208106897,,,,,,,
