PublicationAgency,MergedText
(주)장원조경,"매토종자, 현장발생토 및 임목폐기물을 이용한 생태복원기술 개발 대한민국 1485011138.0 매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발 신경준2298104710 EQU 매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발 1485009921.0 2.01e+19 NFEC-2014-04-187033 2012.0 2011.0 N34 환경부 201103419330305A 차세대에코이노베이션기술개발 AAN9581 20314.0 환경 생명공학기술 30500.0 생태계, 오염토양, 지하수 복원기술 O0401 훼손된 자연생태계 복원기술 nan nan nan nan"
나인테크,Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발 대한민국 1425074135.0 Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발 황충호1233701798 EQU PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 1425071068.0 2.01e+19 NFEC-2012-06-165497 2011.0 2011.0 N30 중소기업청 201003013510301B 산학연협력기술개발 ACD4675 10112.0 집적회로기술 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 I0608 전자부품 표면처리기술 nan nan nan nan
나인테크,PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 대한민국 1425077254.0 PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 황충호1233701798 EQU PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 1425071068.0 2.01e+19 NFEC-2012-06-165497 2011.0 2011.0 N30 중소기업청 201003013510301B 산학연협력기술개발 ACD4675 10112.0 집적회로기술 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 I0608 전자부품 표면처리기술 nan nan nan nan
(주)가온테크,공기 대 공기 열교환기 보호용 케이스 제조 방식 및 조립 공정 개선 대한민국 1425087637.0 공기 대 공기 열교환기 보호용 케이스 제조 방식 및 조립 공정 개선 송길섭5808602038 EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan
(주)가온테크,공조기 에너지 절감 향상을 위한 대향류형 열교환기 개발 대한민국 1425099421.0 공조기 에너지 절감 향상을 위한 대향류형 열교환기 개발 송길섭5808602038 EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan
(주)가온테크,주기/보기 선박용 Urea-SCR Closed Loop형 통합제어 시스템 개발 대한민국 1425082312.0 주기/보기 선박용 Urea-SCR Closed Loop형 통합제어 시스템 개발 조경환5808602038 EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan
(주)가온테크,저주파수 보호방식 개선용 디지털 입력선택 출력제어 장치개발 대한민국 1425075417.0 저주파수 보호방식 개선용 디지털 입력선택 출력제어 장치개발 조영인5808602038 EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan
(주)가온테크,공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 대한민국 1425082080.0 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 송길섭5808602038 EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan
에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 대한민국 1711029261.0 통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 곽승환6030502326 EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan
에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발 대한민국 1711021943.0 양자암호통신 네트워크 구축을 위한 요소기술 개발 조석범6030502326 EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan
에스케이텔레콤(주),5G 기반 실감 미디어 및 응용 서비스 실증 대한민국 1711058529.0 5G 기반 실감 미디어 및 응용 서비스 실증 장홍성6030502326 EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan
에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 대한민국 1711043011.0 통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 곽승환6030502326 EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan
에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발 대한민국 1711026471.0 양자암호통신 네트워크 구축을 위한 요소기술 개발 조석범6030502326 EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan
에이케이켐텍(주),환경친화적 천연원료 유래 인체적합형 생체계면활성제 소재 및 제품 개발 대한민국 1415147562.0 환경친화적 천연원료 유래 인체적합형 생체계면활성제 소재 및 제품 개발 김병조3068103046 EQU 반도체 디스플레이 공정용 불소계 계면활성제 제조기술 개발 1415168859.0 2.02e+19 NFEC-2021-03-269113 2021.0 2020.0 P21 산업통상자원부 B10775 소재부품기술개발 ACA2679 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 120101.0 위의 중점과학기술에 속하지 않는 기타 연구 EC0506 계면활성제 nan nan nan nan
에이케이켐텍(주),생분해성이 우수한 환경 친화적 생체계면활성제의 개발 대한민국 1415108835.0 생분해성이 우수한 환경 친화적 생체계면활성제의 개발 김병조3068103046 EQU 반도체 디스플레이 공정용 불소계 계면활성제 제조기술 개발 1415168859.0 2.02e+19 NFEC-2021-03-269113 2021.0 2020.0 P21 산업통상자원부 B10775 소재부품기술개발 ACA2679 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 120101.0 위의 중점과학기술에 속하지 않는 기타 연구 EC0506 계면활성제 nan nan nan nan
(주)케이씨,선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 대한민국 1425113760.0 선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 전용진6818100057 EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan
(주)케이씨,다중 구역 제어형 부식 방지 시스템 개발 대한민국 1415124869.0 다중 구역 제어형 부식 방지 시스템 개발 이승환6818100057 EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan
(주)케이씨,자동제어 전위 벨런싱 시스템 개발 대한민국 1425126185.0 자동제어 전위 벨런싱 시스템 개발 김상훈6818100057 EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan
(주)케이씨,선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 대한민국 1425126460.0 선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 전용진6818100057 EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan
